name,address,date,score,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22
King's Palace Cafe Incorporated,162 Beale St. Memphis. TN 38103,9/1/2020,97,,,,,,,,,,,,,,,,,,,,,,
Vanelli's Deli,7873 Farmington Blvd. Germantown. TN 38138,9/1/2020,99,,,,,,,,,,,,,,,,,,,,,,
Checker's,3680 Lamar Ave Memphis. TN 38118,9/1/2020,95,,,,,,,,,,,,,,,,,,,,,,
Automatic Slim's,83 S. Second St. Memphis. TN 38103,9/1/2020,97,,,,,,,,,,,,,,,,,,,,,,
Subway,1558 Union Ave. Memphis. TN 38105,9/1/2020,97,,,,,,,,,,,,,,,,,,,,,,
Dunkin Donuts,1540 Union Ave. Memphis. TN 38104,9/1/2020,98,,,,,,,,,,,,,,,,,,,,,,
Frida,4650 Merchants Park Circle Collierville. TN 38017,9/1/2020,98,,,,,,,,,,,,,,,,,,,,,,
Automatic Slim's-Bar,83 S. Second St  Memphis. TN 38103,9/1/2020,99,,,,,,,,,,,,,,,,,,,,,,
Kentucky Fried Chicken,200 N. Danny Thomas Memphis. TN 38105,8/31/2020,96,,,,,,,,,,,,,,,,,,,,,,
Captain D's,4404 Elvis Presley Memphis. TN 38116,8/31/2020,97,,,,,,,,,,,,,,,,,,,,,,
Sensational Enlightenment DCC,5960 Knight Arnold Memphis. TN 38115,8/31/2020,100,,,,,,,,,,,,,,,,,,,,,,
Jack Pirtle's Chicken,2484 Jackson Ave. Memphis. TN 38108,8/31/2020,90,,,,,,,,,,,,,,,,,,,,,,
Apples and Cookies Enrichment Center,3654 Boxtown Rd. Memphis. TN 38109,8/31/2020,100,,,,,,,,,,,,,,,,,,,,,,
Pollard's BBQ,4560 Elvis Presley Blvd. Memphis. TN 38116,8/31/2020,95,,,,,,,,,,,,,,,,,,,,,,
Papa John's Pizza,622 W. Poplar Ave. Collierville. TN 38017,8/30/2020,99,,,,,,,,,,,,,,,,,,,,,,
Captain D's Seafood Kitchen,7112 Hwy 64 Bartlett. TN 38133,8/30/2020,96,,,,,,,,,,,,,,,,,,,,,,
Starbucks,1850 Union Ave. Memphis. TN 38103,8/30/2020,98,,,,,,,,,,,,,,,,,,,,,,
Pyro's Fire Fresh Pizza,2035 Union Ave. Memphis. TN 38104,8/30/2020,98,,,,,,,,,,,,,,,,,,,,,,
Subway,1645 Poplar Ave. Memphis. TN 38104-2511,8/30/2020,98,,,,,,,,,,,,,,,,,,,,,,
Pig On Beale. Inc.,167 Beale St. Memphis. TN 38103,8/27/2020,96,,,,,,,,,,,,,,,,,,,,,,
Terrace,50 Harbor Town Sq. Memphis. TN 38103,8/27/2020,97,,,,,,,,,,,,,,,,,,,,,,
El Toro Loco Mexican Bar & Grill,2617 Poplar Ave. Memphis. TN 38112,8/26/2020,95,,,,,,,,,,,,,,,,,,,,,,
Pop's Bar And Grill,6365 Navy Rd. Millington. TN 38053,8/26/2020,96,,,,,,,,,,,,,,,,,,,,,,
El Mojito Mexican Restaurant,450 Donelson Pike Suite A9 Nashville. TN 37214,11/4/2020,76,Missing paper towel at hand sink.,Ham with visible spoilage found in seafood prep cooler.,Missing shell stock tags for oysters.,No date marking on prepared foods in walk in cooler.,Chemical bottles stored above bulk storage containers.,Frozen shrimp thawing in hand sink.,Rear door does not self close. Rear door hanging open.,Onions stored on ground next to mop.,Personal items stored on food prep table with food present.,Wet wiping cloth stored on prep counter.,Dumpster overflowing with trash, lids not shut, and food and garbage on ground around dumpster.
Perkin's Restaurant,1390 Bre Ave. Ste. A Pulaski. TN 38478,11/3/2020,81,No hand wash sign at kitchen hand wash sink,Dishes not being sanitized. Sanitizer container empty Had pic set up three bay sink using bleach to sanitize,Insecticide stored on shelf with kitchen cleaning chemicals,Potato and onion stored on floor in wic,Wiping cloth not stored in sanitizer,Knife stored ob cloth towel,Magnetic knife rack dirty
Rice Box,119 North Creek Blvd. Goodlettsville. TN 37072,11/3/2020,68,Person in charge does not demonstrate control over foodborne illness risk factors in the kitchen.,Employee observed washing hands in triple sink.,Paper towels were not supplied at handsink near the walk in cooler.,Raw eggs stored directly above cooked RTE foods in walk in cooler.,Raw chicken in the open top cooler was stored in a direct contact with raw beef.,Observed carton of raw eggs left out on a prep surface.,Observed Incorrect dates marked in walk in cooler.,Observed toxic spray bottle with blue liquid in it unlabeled by the low temp dish machine.,Observed fly trap hung above food prep table.,Observed knives stored away in a space crevice between the open top cooler and prep sink. There was build up of residue in between the cooler and sink. Prompted the PIC to not store utensils in that manner and immediately wash, rinse, and sanitize those observed utensils.
Angkorians,2689 Murfreesboro Pike Nashville. TN 37217,11/3/2020,74,3 gallons of milk out of date,Raw meat stored above ready to eat foods in the reach in cooler,Heating sweet potatoes on steamtable and the sweet potatoes have been on the steamtable for 30 minutes and is at 60F. Green beans heating on steamtable at 70F,Macaroni and cheese at 46Fin reach in cooler that they cooked last night. It did not cool down properly. It had a cover on the pan. Do not cover food while cooling it down.,Beef and vegetables at 46F on prep cooler. Must be at 41F or below.,Self closure on back door is broken,Back door is broken and does not close properly and has gaps leading to outside all around door.,Bag of chicken batter sitting on the floor,Lots of carbon buildup on muffin pans,Using rag as a stopper for 3 comp sink,Wok station is dirty
